2021-04-12 02:47:10|gge456|꼬망이|1환생의도끼(100103)|1|1000|100
2021-04-12 23:11:14|yy1212|연두|맘모스쿠폰(40050)|1|4900|943400
2021-04-12 23:11:15|yy1212|연두|맘모스쿠폰(40050)|1|4900|938500
2021-04-12 23:11:16|yy1212|연두|맘모스쿠폰(40050)|1|4900|933600
2021-04-12 23:11:17|yy1212|연두|맘모스쿠폰(40050)|1|4900|928700
2021-04-12 23:11:19|yy1212|연두|맘모스쿠폰(40050)|1|4900|923800
2021-04-12 23:11:20|yy1212|연두|맘모스쿠폰(40050)|1|4900|918900
2021-04-12 23:11:21|yy1212|연두|맘모스쿠폰(40050)|1|4900|914000
2021-04-12 23:11:22|yy1212|연두|맘모스쿠폰(40050)|1|4900|909100
2021-04-12 23:11:23|yy1212|연두|맘모스쿠폰(40050)|1|4900|904200
2021-04-12 23:11:24|yy1212|연두|맘모스쿠폰(40050)|1|4900|899300
2021-04-12 23:11:25|yy1212|연두|맘모스쿠폰(40050)|1|4900|894400
2021-04-12 23:11:26|yy1212|연두|맘모스쿠폰(40050)|1|4900|889500
2021-04-12 23:11:28|yy1212|연두|맘모스쿠폰(40050)|1|4900|884600
2021-04-12 23:11:28|||경험치 구슬(교불)(100508)|1|3|39
2021-04-12 23:11:29|yy1212|연두|맘모스쿠폰(40050)|1|4900|879700
2021-04-12 23:54:01|||경험치 구슬(교불)(100508)|1|3|24
2021-04-12 23:54:11|||경험치 구슬(교불)(100508)|1|3|36
